"","x"
"640",3
"641",5
"642",4
"643",5
"644",2
"645",4
"646",2
"647",2
"648",3
"649",3
"650",3
"651",4
"652",2
"653",4
"654",3
"655",2
"656",3
"657",2
"658",3
"659",5
"660",3
"661",3
"662",4
"663",2
"664",3
"665",5
"666",4
"667",3
"668",3
"669",2
"670",3
"671",3
"672",4
"673",4
"674",4
"675",2
"676",2
"677",6
"678",4
"679",4
"680",4
"681",5
"682",2
"683",3
"684",3
"685",3
"686",3
"687",5
"688",6
"689",4
"690",2
"691",3
"692",2
"693",6
"694",5
"695",2
"696",3
"697",4
"698",5
"699",2
"700",3
"701",2
"702",4
"703",5
"704",3
"705",3
"706",6
"707",3
"708",4
"709",6
"710",3
"711",4
"712",2
"713",5
"714",7
"715",2
"716",7
"717",3
"718",4
"719",3
"720",3
"721",3
"722",3
"723",5
"724",4
"725",2
"726",4
"727",2
"728",4
"729",6
"730",2
"731",3
"732",4
"733",2
"734",4
"735",2
"736",3
"737",5
"738",3
"739",3
"740",4
"741",2
"742",4
"743",6
"744",5
"745",3
"746",4
"747",2
"748",2
"749",4
"750",3
"751",3
"752",3
"753",2
"754",5
"755",2
"756",4
"757",3
"758",3
"759",2
"760",4
"761",4
"762",3
"763",3
"764",4
"765",3
"766",4
"767",2
"768",5
"769",3
"770",4
"771",2
"772",5
"773",2
"774",6
"775",3
"776",4
"777",2
"778",6
"779",4
"780",3
"781",4
"782",8
"783",4
"784",2
"785",2
"786",3
"787",3
"788",2
"789",5
"790",3
"791",3
"792",3
"793",3
"794",3
"795",4
"796",3
"797",3
"798",2
"799",3
"800",4
"801",4
"802",2
"803",2
"804",2
"805",2
"806",2
"807",3
"808",3
"809",2
"810",8
"811",4
"812",5
"813",4
"814",2
"815",2
"816",3
"817",7
"818",3
"819",2
"820",5
"821",2
"822",4
"823",5
"824",5
"825",3
"826",4
"827",4
"828",4
"829",4
"830",3
"831",2
"832",2
"833",4
"834",2
"835",3
"836",4
"837",3
"838",4
"839",3
"840",4
"841",3
"842",2
"843",5
"844",4
"845",3
"846",4
"847",2
"848",3
"849",2
"850",2
"851",3
"852",4
"853",7
"854",5
"855",3
"856",5
"857",4
"858",3
"859",3
"860",2
"861",3
"862",2
"863",2
"864",3
"865",3
"866",3
"867",6
"868",4
"869",3
"870",6
"871",4
"872",3
"873",3
"874",4
"875",4
"876",5
"877",2
"878",7
"879",5
"880",4
"881",4
"882",3
"883",3
"884",2
"885",3
"886",4
"887",5
"888",2
"889",3
"890",2
"891",3
"892",2
"893",3
"894",2
"895",3
"896",2
"897",4
"898",5
"899",4
"900",5
"901",3
"902",3
"903",3
"904",2
"905",3
"906",3
"907",2
"908",6
"909",4
"910",4
"911",4
"912",2
"913",6
"914",3
"915",4
"916",2
"917",3
"918",4
"919",3
"920",4
"921",4
"922",2
"923",5
"924",3
"925",5
"926",4
"927",4
"928",4
"929",4
"930",3
"931",3
"932",2
"933",5
"934",4
"935",6
"936",5
"937",3
"938",3
"939",3
"940",5
"941",3
"942",4
"943",4
"944",3
"945",2
"946",2
"947",2
"948",3
"949",4
"950",3
"951",3
"952",2
"953",5
"954",4
"955",4
"956",2
"957",3
"958",6
"959",3
"960",5
"961",3
"962",3
"963",2
"964",3
"965",2
"966",4
"967",8
"968",4
"969",3
"970",5
"971",3
"972",2
"973",4
"974",5
"975",3
"976",4
"977",9
"978",3
"979",2
"980",3
"981",3
"982",3
"983",5
"984",2
"985",3
"986",4
"987",3
"988",5
"989",6
"990",3
"991",4
"992",7
"993",3
"994",3
"995",4
"996",3
"997",4
"998",2
"999",3
"1000",5
