"","x"
"640",31
"641",36
"642",29
"643",32
"644",29
"645",30
"646",29
"647",31
"648",33
"649",37
"650",34
"651",27
"652",31
"653",34
"654",38
"655",42
"656",40
"657",37
"658",33
"659",34
"660",31
"661",21
"662",31
"663",26
"664",30
"665",36
"666",30
"667",34
"668",34
"669",36
"670",41
"671",42
"672",39
"673",32
"674",33
"675",31
"676",27
"677",29
"678",33
"679",39
"680",25
"681",50
"682",36
"683",30
"684",32
"685",35
"686",42
"687",33
"688",37
"689",41
"690",39
"691",42
"692",35
"693",36
"694",37
"695",43
"696",35
"697",33
"698",34
"699",37
"700",35
"701",40
"702",44
"703",32
"704",39
"705",31
"706",29
"707",27
"708",29
"709",47
"710",39
"711",34
"712",35
"713",29
"714",51
"715",35
"716",33
"717",44
"718",43
"719",25
"720",31
"721",39
"722",44
"723",34
"724",32
"725",40
"726",49
"727",36
"728",32
"729",32
"730",25
"731",30
"732",35
"733",30
"734",46
"735",40
"736",35
"737",28
"738",32
"739",34
"740",27
"741",33
"742",42
"743",32
"744",32
"745",30
"746",33
"747",40
"748",29
"749",43
"750",36
"751",34
"752",27
"753",25
"754",29
"755",28
"756",38
"757",33
"758",41
"759",44
"760",27
"761",33
"762",35
"763",33
"764",40
"765",35
"766",33
"767",36
"768",31
"769",39
"770",27
"771",35
"772",40
"773",39
"774",33
"775",42
"776",41
"777",42
"778",27
"779",30
"780",33
"781",40
"782",36
"783",38
"784",40
"785",31
"786",35
"787",29
"788",41
"789",31
"790",31
"791",44
"792",34
"793",36
"794",29
"795",30
"796",38
"797",39
"798",32
"799",29
"800",39
"801",39
"802",39
"803",27
"804",44
"805",31
"806",43
"807",37
"808",24
"809",23
"810",35
"811",34
"812",25
"813",31
"814",33
"815",34
"816",38
"817",35
"818",29
"819",38
"820",32
"821",50
"822",31
"823",33
"824",48
"825",42
"826",34
"827",32
"828",29
"829",51
"830",32
"831",26
"832",41
"833",32
"834",28
"835",46
"836",32
"837",29
"838",33
"839",30
"840",31
"841",29
"842",30
"843",40
"844",41
"845",30
"846",32
"847",34
"848",33
"849",29
