"","x"
"640",14
"641",12
"642",12
"643",15
"644",16
"645",16
"646",15
"647",20
"648",15
"649",15
"650",12
"651",20
"652",13
"653",14
"654",11
"655",16
"656",12
"657",15
"658",19
"659",15
"660",17
"661",17
"662",17
"663",12
"664",14
"665",13
"666",14
"667",17
"668",14
"669",17
"670",19
"671",18
"672",12
"673",16
"674",14
"675",13
"676",16
"677",17
"678",12
"679",13
"680",13
"681",14
"682",17
"683",16
"684",11
"685",14
"686",19
"687",12
"688",15
"689",14
"690",12
"691",12
"692",13
"693",14
"694",12
"695",12
"696",16
"697",10
"698",16
"699",18
"700",15
"701",13
"702",13
"703",15
"704",19
"705",11
"706",19
"707",18
"708",15
"709",16
"710",17
"711",13
"712",13
"713",17
"714",14
"715",11
"716",12
"717",15
"718",23
"719",10
"720",15
"721",17
"722",16
"723",17
"724",15
"725",11
"726",14
"727",13
"728",15
"729",13
"730",15
"731",15
"732",19
"733",16
"734",16
"735",13
"736",12
"737",15
"738",18
"739",15
"740",12
"741",13
"742",17
"743",11
"744",15
"745",15
"746",18
"747",14
"748",12
"749",13
"750",14
"751",14
"752",15
"753",13
"754",17
"755",14
"756",11
"757",19
"758",18
"759",13
"760",17
"761",12
"762",16
"763",15
"764",16
"765",15
"766",12
"767",13
"768",14
"769",12
"770",13
"771",16
"772",17
"773",14
"774",18
"775",12
"776",13
"777",14
"778",18
"779",16
"780",13
"781",12
"782",15
"783",15
"784",14
"785",14
"786",17
"787",13
"788",14
"789",16
"790",15
"791",16
"792",17
"793",19
"794",16
"795",13
"796",17
"797",14
"798",13
"799",16
"800",15
"801",12
"802",12
"803",18
"804",16
"805",15
"806",15
"807",15
"808",17
"809",14
"810",15
"811",14
"812",11
"813",18
"814",18
"815",13
"816",15
"817",17
"818",13
"819",13
"820",16
"821",14
"822",12
"823",16
"824",18
"825",15
"826",14
"827",18
"828",16
"829",17
"830",13
"831",15
"832",17
"833",17
"834",15
"835",14
"836",14
"837",14
"838",12
"839",19
"840",18
"841",14
"842",13
"843",20
"844",11
"845",9
"846",11
"847",12
"848",12
"849",12
"850",14
"851",12
"852",10
"853",15
"854",16
"855",14
"856",15
"857",13
"858",22
"859",12
"860",17
"861",20
"862",12
"863",17
"864",15
"865",12
"866",19
"867",18
"868",14
"869",18
"870",17
"871",15
"872",14
"873",16
"874",18
"875",14
"876",15
"877",16
"878",18
"879",18
"880",15
"881",18
"882",13
"883",12
"884",20
"885",17
"886",14
"887",17
"888",15
"889",13
"890",13
"891",19
"892",13
"893",15
"894",14
"895",14
"896",17
"897",16
"898",14
"899",17
"900",14
"901",15
"902",12
"903",13
"904",15
"905",15
"906",10
"907",18
"908",16
"909",18
"910",16
"911",17
"912",11
"913",14
"914",11
"915",20
"916",15
"917",15
"918",12
"919",15
"920",14
"921",18
"922",12
"923",14
"924",16
"925",10
"926",17
"927",14
"928",15
"929",14
"930",14
"931",17
"932",13
"933",13
"934",15
"935",13
"936",15
"937",14
"938",12
"939",18
"940",13
"941",17
"942",15
"943",11
"944",15
"945",15
"946",17
"947",16
"948",19
"949",14
"950",16
"951",15
"952",17
"953",16
"954",13
"955",16
"956",17
"957",14
"958",13
"959",13
"960",17
"961",11
"962",17
"963",15
"964",13
"965",16
"966",16
"967",15
"968",17
"969",17
"970",14
"971",14
"972",16
"973",15
"974",15
"975",12
"976",14
"977",17
"978",14
"979",17
"980",12
"981",16
"982",12
"983",13
"984",12
"985",16
"986",16
"987",14
"988",14
"989",18
"990",17
"991",11
"992",13
"993",12
"994",16
"995",12
"996",16
"997",14
"998",17
"999",17
"1000",17
